Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
THE HILLFORD,"695,000",656.6,"1,058",Oct-20,JALAN JURONG KECHIL,Resale,Strata,61,"11,393",-,Apartment,1,60 yrs lease commencing from 2013,21,Rest of Central Region,01 to 05
NV RESIDENCES,"733,888",764.24,960,Oct-20,PASIR RIS GROVE,Resale,Strata,71,"10,336",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,01 to 05
COCO PALMS,"635,000",462.85,"1,372",Oct-20,PASIR RIS GROVE,Resale,Strata,43,"14,767",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,06 to 10
SANCTUARY GREEN,"1,710,000","1,399.32","1,222",Oct-20,TANJONG RHU ROAD,Resale,Strata,130,"13,154",-,Condominium,1,99 yrs lease commencing from 1997,15,Rest of Central Region,06 to 10
AQUARIUS BY THE PARK,"1,008,000","1,227.1",821,Oct-20,BEDOK RESERVOIR VIEW,Resale,Strata,114,"8,842",-,Condominium,1,99 yrs lease commencing from 1996,16,Outside Central Region,06 to 10
SUMMERHILL,"1,780,000","1,388.56","1,282",Oct-20,HUME AVENUE,Resale,Strata,129,"13,798",-,Condominium,1,Freehold,21,Outside Central Region,06 to 10
VERDALE,"1,140,900",710.42,"1,606",Oct-20,DE SOUZA AVENUE,New Sale,Strata,66,"17,286",-,Apartment,1,99 yrs lease commencing from 2018,21,Rest of Central Region,01 to 05
JADESCAPE,"2,830,000","1,646.89","1,718",Oct-20,SHUNFU ROAD,New Sale,Strata,153,"18,497",-,Condominium,1,99 yrs lease commencing from 2018,20,Rest of Central Region,16 to 20
VIEW AT KISMIS,"1,057,000",602.78,"1,754",Oct-20,LORONG KISMIS,New Sale,Strata,56,"18,875",-,Apartment,1,99 yrs lease commencing from 2019,21,Rest of Central Region,01 to 05
THE PANORAMA,"1,600,000","1,065.64","1,501",Oct-20,ANG MO KIO AVENUE 2,Resale,Strata,99,"16,162",-,Condominium,1,99 yrs lease commencing from 2013,20,Outside Central Region,11 to 15
JADESCAPE,"1,415,000",764.24,"1,852",Oct-20,SHUNFU ROAD,New Sale,Strata,71,"19,930",-,Condominium,1,99 yrs lease commencing from 2018,20,Rest of Central Region,21 to 25
